2017-04-21 15 	5
2017-04-21 16 	2
2017-04-22 00 	6
2017-04-22 06 	266
2017-04-22 07 	224
2017-04-22 08 	170
2017-04-22 09 	76
2017-04-22 10 	14
2017-04-22 14 	63
2017-04-22 15 	10
2017-04-22 16 	1
2017-04-22 17 	3
2017-04-23 00 	4
2017-04-23 05 	4
2017-04-23 06 	257
2017-04-23 07 	245
2017-04-23 08 	176
2017-04-23 09 	101
2017-04-23 10 	10
2017-04-23 13 	1
2017-04-23 14 	66
2017-04-23 15 	10
2017-04-24 00 	10
2017-04-24 06 	249
2017-04-24 07 	220
2017-04-24 08 	235
2017-04-24 09 	66
2017-04-24 10 	25
2017-04-24 14 	52
2017-04-24 15 	10
2017-04-24 16 	2
2017-04-24 18 	1
2017-04-25 00 	6
2017-04-25 01 	1
2017-04-25 06 	230
2017-04-25 07 	221
2017-04-25 08 	252
2017-04-25 09 	84
2017-04-25 10 	12
2017-04-25 14 	58
2017-04-25 15 	6
2017-04-25 16 	1
2017-04-26 00 	10
2017-04-26 06 	228
2017-04-26 07 	226
2017-04-26 08 	234
2017-04-26 09 	80
2017-04-26 10 	24
2017-04-26 14 	61
2017-04-26 15 	3
2017-04-26 16 	1
2017-04-26 21 	1
2017-04-26 22 	2
2017-04-26 23 	1
2017-04-27 00 	11
2017-04-27 01 	1
2017-04-27 06 	248
2017-04-27 07 	236
2017-04-27 08 	268
2017-04-27 09 	106
2017-04-27 10 	22
2017-04-27 11 	2
2017-04-27 13 	14
2017-04-27 14 	53
2017-04-27 15 	5
2017-04-27 20 	3
2017-04-28 00 	6
2017-04-28 06 	299
2017-04-28 07 	298
2017-04-28 08 	271
2017-04-28 09 	135
2017-04-28 10 	34
2017-04-28 11 	2
2017-04-28 14 	88
2017-04-28 15 	15
2017-04-28 16 	2
2017-04-29 00 	5
2017-04-29 05 	15
2017-04-29 06 	390
2017-04-29 07 	317
2017-04-29 08 	233
2017-04-29 09 	123
2017-04-29 10 	14
2017-04-29 14 	81
2017-04-29 15 	16
2017-04-29 16 	1
2017-04-30 00 	8
2017-04-30 05 	14
2017-04-30 06 	425
2017-04-30 07 	360
2017-04-30 08 	218
2017-04-30 09 	117
2017-04-30 10 	13
2017-04-30 14 	79
2017-04-30 15 	19
2017-04-30 16 	6
2017-05-01 00 	30
2017-05-01 05 	122
2017-05-01 06 	758
2017-05-01 07 	694
2017-05-01 08 	522
2017-05-01 09 	243
2017-05-01 10 	36
2017-05-01 11 	1
2017-05-01 13 	2
2017-05-01 14 	121
2017-05-01 15 	63
2017-05-01 16 	8
2017-05-01 17 	1
2017-05-02 00 	23
2017-05-02 05 	89
2017-05-02 06 	782
2017-05-02 07 	674
2017-05-02 08 	704
2017-05-02 09 	288
2017-05-02 10 	37
2017-05-02 11 	3
2017-05-02 13 	1
2017-05-02 14 	189
2017-05-02 15 	46
2017-05-02 16 	12
2017-05-02 17 	1
2017-05-02 20 	1
2017-05-03 00 	24
2017-05-03 05 	127
2017-05-03 06 	813
2017-05-03 07 	732
2017-05-03 08 	758
2017-05-03 09 	299
2017-05-03 10 	33
2017-05-03 14 	161
2017-05-03 15 	28
2017-05-03 16 	5
2017-05-03 17 	1
2017-05-03 21 	1
2017-05-04 00 	24
2017-05-04 05 	131
2017-05-04 06 	860
2017-05-04 07 	787
2017-05-04 08 	739
2017-05-04 09 	329
2017-05-04 10 	40
2017-05-04 14 	194
2017-05-04 15 	39
2017-05-04 16 	5
2017-05-05 00 	21
2017-05-05 05 	181
2017-05-05 06 	850
2017-05-05 07 	691
2017-05-05 08 	624
2017-05-05 09 	247
2017-05-05 10 	24
2017-05-05 14 	224
2017-05-05 15 	39
2017-05-05 16 	7
2017-05-05 17 	12
2017-05-05 19 	11
2017-05-05 21 	1
2017-05-06 00 	24
2017-05-06 05 	217
2017-05-06 06 	973
2017-05-06 07 	768
2017-05-06 08 	619
